City_CH,City_EN,FID,Field_1,GbCity,GbProv,N_C_0115,N_C_0116,N_C_0117,N_C_0118,N_C_0119,N_C_0120,N_C_0121,N_C_0122,N_C_0123,N_C_0124,N_C_0125,N_C_0126,N_C_0127,N_C_0128,N_C_0129,N_C_0130,N_C_0131,N_C_0201,N_C_0202,N_C_0203,N_C_0204,N_C_0205,N_C_0206,N_C_0207,N_C_0208,N_C_0209,N_C_0210,N_C_0211,N_C_0212,N_C_0213,N_C_0214,N_C_0215,N_C_0216,N_C_0217,N_C_0218,N_C_0219,N_C_0220,N_C_0221,N_C_0222,N_C_0223,N_C_0224,N_C_0225,N_C_0226,N_C_0227,N_C_0228,N_C_0229,N_C_0301,N_C_0302,N_C_0303,N_C_0304,N_C_0305,N_C_0306,N_C_0307,N_C_0308,N_C_0309,N_C_0310,N_C_0311,N_C_0312,N_C_0313,N_C_0314,N_C_0315,N_C_0316,N_C_0317,N_C_0318,N_C_0319,N_C_0320,N_C_0321,N_C_0322,N_C_0323,N_C_0324,N_C_0325,N_C_0326,N_C_0327,N_C_0328,N_C_0329,N_C_0330,N_C_0331,N_C_0401,N_C_0402,N_C_0403,N_C_0404,N_C_0405,N_C_0406,N_C_0407,N_C_0408,N_C_0409,N_C_0410,N_C_0411,N_C_0412,N_C_0413,N_C_0414,N_C_0415,N_C_0416,N_C_0417,N_C_0418,N_C_0419,Prov_CH,Prov_EN,T_C_0115,T_C_0116,T_C_0117,T_C_0118,T_C_0119,T_C_0120,T_C_0121,T_C_0122,T_C_0123,T_C_0124,T_C_0125,T_C_0126,T_C_0127,T_C_0128,T_C_0129,T_C_0130,T_C_0131,T_C_0201,T_C_0202,T_C_0203,T_C_0204,T_C_0205,T_C_0206,T_C_0207,T_C_0208,T_C_0209,T_C_0210,T_C_0211,T_C_0212,T_C_0213,T_C_0214,T_C_0215,T_C_0216,T_C_0217,T_C_0218,T_C_0219,T_C_0220,T_C_0221,T_C_0222,T_C_0223,T_C_0224,T_C_0225,T_C_0226,T_C_0227,T_C_0228,T_C_0229,T_C_0301,T_C_0302,T_C_0303,T_C_0304,T_C_0305,T_C_0306,T_C_0307,T_C_0308,T_C_0309,T_C_0310,T_C_0311,T_C_0312,T_C_0313,T_C_0314,T_C_0315,T_C_0316,T_C_0317,T_C_0318,T_C_0319,T_C_0320,T_C_0321,T_C_0322,T_C_0323,T_C_0324,T_C_0325,T_C_0326,T_C_0327,T_C_0328,T_C_0329,T_C_0330,T_C_0331,T_C_0401,T_C_0402,T_C_0403,T_C_0404,T_C_0405,T_C_0406,T_C_0407,T_C_0408,T_C_0409,T_C_0410,T_C_0411,T_C_0412,T_C_0413,T_C_0414,T_C_0415,T_C_0416,T_C_0417,T_C_0418,T_C_0419
嘉峪关市,Jiayuguan,299,121,6202,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金昌市,Jinchang,300,125,6203,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
白银市,Baiyin,301,16,6204,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
天水市,Tianshui,302,246,6205,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,0,0,-1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,8,10,10,10,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
酒泉地区,Jiuquandiqu,303,134,6221,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张掖地区,Zhangyediqu,304,319,6222,62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
武威地区,Wuweidiqu,305,267,6223,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
定西地区,Dingxidiqu,306,56,6224,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,2,2,2,4,4,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
陇南地区,Longnandiqu,307,162,6226,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
平凉地区,Pingliangdiqu,308,191,6227,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,甘肃省,Gansu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,4,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
